code,name,description
B14,Julios por metro a la cuarta potencia,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B15,Julios por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B16,Julios por mol kelvin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B18,Joule segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B2,Litera,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B20,Joule metro cuadrado por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B21,Kelvin por vatio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B22,Kiloampere,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B23,Kiloampere por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B24,Kiloampere por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B25,Kilobecquerel por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B26,Kilocoulomb,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B27,Kilocoulomb por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B28,Kilocoulomb por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B29,Kiloelectronvolt,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B3,Libra de bateo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B31,Kilogramo metro por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B32,Kilogramo metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B33,Kilogramo metro cuadrado por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B34,Kilogramo por decímetro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B35,Kilogramo por litro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B36,Caloría termoquímica por gramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B37,Kilogramo de fuerza,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B38,Metro de fuerza de kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B39,Metro de fuerza de kilogramo por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B4,"Barril, imperial",Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B40,Kilogramo de fuerza por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B41,Kilojoule per kelvin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B42,Kilojoule por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B43,Kilojoule por kilogramo kelvin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B44,Kilojoule por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B45,Kilomol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B46,Kilomol por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B47,Kilonewton,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B48,Medidor de kilonewton,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B49,Kiloohm,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B5,Palanquilla,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B50,Medidor de kiloohm,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B51,Kilopond,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B52,Kilosegundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B53,Kilosiemens,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B54,Kilosiemens por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B55,Kilovoltios por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B56,Kiloveber por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B57,Año luz,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B58,Litro por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B59,Hora lumen,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B6,Bollo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B60,Lumen por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B61,Lumen por vatio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B62,Lumen segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B63,Hora de lux,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B64,Lux segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B65,Maxwell,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B66,Megaamperios por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B67,Megabecquerel por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B69,Megacoulomb por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B7,Ciclo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B70,Megacoulomb por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B71,Megaelectronvolt,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B72,Megagramo por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B73,Meganewton,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B74,Medidor de meganewton,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B75,Megaohm,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B76,Metro megaohm,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B77,Megasiemens por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B78,Megavoltio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B79,Megavolt por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B8,Julios por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B81,Metro recíproco cuadrado recíproco segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B83,Metro a la cuarta potencia,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B84,Microamperios,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B85,Microbar,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B86,Microcoulomb,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B87,Microcoulomb por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B88,Microcoulomb por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B89,Microfarada por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B9,Batt,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B90,Microhenry,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B91,Microhenry por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B92,Micronewton,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B93,Medidor de micronewton,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B94,Microohm,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B95,Medidor de microohmios,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B96,Micropascal,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B97,Microradiano,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B98,Microsegundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
B99,Microsiemens,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BAR,Bar,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BB,Caja base,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BD,Tablero,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BFT,Pie de tabla,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BG,Bolso,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BH,Cepillo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BHP,Potencia al freno,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BIL,Trillón de dólares,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BJ,Cangilón,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BK,Cesta,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BL,Bala,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BLD,Barril seco,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BLL,"Barril (EE. UU.) (petróleo, etc.)",Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BO,Botella,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BP,Cien pies de tabla,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BQL,Becquerel,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BR,Bar,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BT,Tornillo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BTU,Unidad Térmica Británica,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BUA,Bushel (EE. UU.),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BUI,Bushel (Reino Unido),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BW,Peso base,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BX,Caja,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
BZ,Millones de BTUs,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C0,Llamada,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C1,Producto compuesto libra (peso total),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C10,Millifarad,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C11,Miligal,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C12,Miligramo por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C13,Miligray,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C14,Milihenry,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C15,Milijoule,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C16,Milímetro por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C17,Milímetro cuadrado por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C18,Milimol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C19,Mol por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C2,Carset,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C20,Millinewton,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C22,Millinewton por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C23,Medidor de miliohm,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C24,Segundo milipascal,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C25,Miliradian,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C26,Milisegundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C27,Milisiemens,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C28,Milisievert,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C29,Millitesla,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C3,Microvoltios por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C30,Milivoltios por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C31,Milivatios,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C32,Milivatios por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C33,Milliweber,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C34,Topo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C35,Mol por decímetro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C36,Mol por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C38,Mol por litro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C39,Nanoampere,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C4,Partido de carga,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C40,Nanocoulomb,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C41,Nanofarad,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C42,Nanofarad por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C43,Nanohenry,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C44,Nanohenry por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C45,Nanometro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C46,Medidor de nanoohm,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C47,Nanosegundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C48,Nanotesla,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C49,Nanovatio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C5,Costo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C50,Neper,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C51,Neper por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C52,Picometro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C53,Metro de newton segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C54,Newton metro cuadrado kilogramo cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C55,Newton por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C56,Newton por milímetro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C57,Newton segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C58,Newton segundo por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C59,Octava,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C6,Célula,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C60,Ohm centímetro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C61,Ohm metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C62,Uno,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C63,Parsec,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C64,Pascal por kelvin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C65,Segundo pascal,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C66,Segundo pascal por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C67,Segundo pascal por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C68,Petajoule,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C69,Telefono,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C7,Centipoise,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C70,Picoampere,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C71,Picocoulomb,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C72,Picofarad por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C73,Picohenry,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C75,Picowatt,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C76,Picowatt por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C77,Medidor de libras,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C78,Fuerza de libra,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C8,Millicoulomb por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C80,Rad,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C81,Radián,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C82,Medidor de radianes al cuadrado por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C83,Medidor de radianes al cuadrado por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C84,Radian por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C85,Â € ngstr recíproco “m,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C86,Metro cúbico recíproco,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C87,Metro cúbico recíproco por segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C88,Voltios de electrones recíprocos por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C89,Henry Recíproco,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C9,Grupo de bobina,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C90,Joule recíproco por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C91,Kelvin recíproco o kelvin al poder menos uno,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C92,Medidor recíproco,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C93,Metro cuadrado recíproco,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C94,Minuto recíproco,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C95,Mole recíproco,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C96,Pascal recíproco o pascal a la potencia menos uno.,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C97,Segundo recíproco,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C98,Segundo recíproco por metro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
C99,Segundo recíproco por metro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CA,Caja,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CCT,Capacidad de carga en toneladas métricas.,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CDL,Candela,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CE,Cada uno por mes,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CEL,Grado Celsius,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CEN,Cien,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CG,Tarjeta,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CGM,Centigramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CH,Envase,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CJ,Cono,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CK,Conector,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CKG,Coulomb por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CL,Bobina,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CLF,Cientos de licencia,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CLT,Centilitro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CMK,Centímetro cuadrado,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CMQ,Centímetro cúbico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CMT,Centímetro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CNP,Paquete de cien,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CNT,Cental (Reino Unido),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CO,Garrafón,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
COU,Culombio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CQ,Cartucho,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CR,Caja,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CS,Caso,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CT,Caja de cartón,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CTM,Quilate métrico,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CU,Vaso,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CUR,Curie,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CV,Cubrir,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CWA,Cien libras (quintales) / cien pesos (US),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CWI,Cien pesos (Reino Unido),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CY,Cilindro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
CZ,Combo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D1,Segundo recíproco por esteradiano,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D10,Siemens por metro,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D12,Siemens metro cuadrado por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D13,Sievert,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D14,Mil yardas lineales,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D15,Sone,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D16,Centímetro cuadrado por ergio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D17,Centímetro cuadrado por erg esterlina,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D18,Metro kelvin,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D19,Kelvin metro cuadrado por vatio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D2,Segundo recíproco por metros cuadrados esteradianos,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D20,Metro cuadrado por julio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D21,Metro cuadrado por kilogramo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D22,Metro cuadrado por mol,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D23,Pluma gramo (proteína),Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D24,Metro cuadrado por esterilizador,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D25,Metro cuadrado por julios esteradianos,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D26,Metro cuadrado por voltio segundo,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D27,Esteradiano,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D28,Sifón,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D29,Terahercios,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D30,Terajulio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D31,Teravatio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
D32,Hora de teravatio,Código UN/ECE Rec. 20 (Anexo Técnico 1.9 tabla 13.3.6)
